0.36525,0.14765,0.00036,0.03083,-53.04
0.36476,0.14782,-0.22299,-0.62344,-30.75
0.36332,0.14386,-0.35184,-0.98625,-17.51
0.36143,0.13832,-0.42440,-1.17801,-9.79
0.35960,0.13251,-0.46373,-1.27004,-5.45
0.35779,0.12616,-0.48410,-1.30669,-2.82
0.35611,0.12053,-0.49266,-1.30927,-1.57
0.35456,0.11473,-0.49520,-1.29667,-0.71
0.35309,0.10887,-0.49347,-1.27410,-0.11
0.35166,0.10388,-0.48870,-1.24373,-0.02
0.35032,0.09869,-0.48294,-1.21375,0.23
0.34899,0.09334,-0.47576,-1.18202,0.54
0.34764,0.08876,-0.46713,-1.14662,0.48
0.34627,0.08388,-0.45857,-1.11380,0.67
0.34493,0.07964,-0.44904,-1.07906,0.60
0.34361,0.07501,-0.43958,-1.04710,0.83
0.34233,0.07094,-0.42899,-1.01279,0.82
0.34105,0.06642,-0.41842,-0.98059,1.08
0.33980,0.06243,-0.40671,-0.94568,1.09
0.33862,0.05798,-0.39478,-0.91256,1.39
0.33746,0.05405,-0.38165,-0.87637,1.41
0.33637,0.05050,-0.36839,-0.84065,1.36
0.33535,0.04724,-0.35531,-0.80658,1.30
0.33440,0.04418,-0.34241,-0.77420,1.27
0.33351,0.04124,-0.32969,-0.74312,1.26
0.33267,0.03840,-0.31701,-0.71304,1.28
0.33187,0.03562,-0.30435,-0.68353,1.32
0.33113,0.03288,-0.29159,-0.65438,1.38
0.33042,0.03017,-0.27875,-0.62531,1.44
0.32974,0.02835,-0.26602,-0.59558,1.16
0.32903,0.02630,-0.25493,-0.57027,1.10
0.32834,0.02494,-0.24445,-0.54594,0.83
0.32768,0.02321,-0.23521,-0.52597,0.84
0.32705,0.02205,-0.22614,-0.50589,0.66
0.32646,0.02044,-0.21786,-0.48898,0.75
0.32593,0.01935,-0.20919,-0.47100,0.64
0.32544,0.01865,-0.20112,-0.45458,0.46
0.32497,0.01736,-0.19392,-0.44122,0.58
0.32454,0.01648,-0.18623,-0.42631,0.52
0.32417,0.01592,-0.17875,-0.41232,0.40
0.32380,0.01558,-0.17205,-0.40000,0.25
0.32347,0.01539,-0.16607,-0.38975,0.12
0.32315,0.01530,-0.16076,-0.38125,0.01
0.32285,0.01528,-0.15606,-0.37420,-0.07
0.32254,0.01530,-0.15189,-0.36832,-0.14
0.32224,0.01534,-0.14818,-0.36339,-0.20
0.32189,0.01539,-0.14505,-0.35919,-0.26
0.32156,0.01545,-0.14226,-0.35583,-0.30
0.32120,0.01551,-0.13990,-0.35297,-0.34
0.32085,0.01557,-0.13773,-0.35067,-0.36
0.32054,0.01562,-0.13548,-0.34867,-0.35
0.32023,0.01567,-0.13333,-0.34658,-0.36
0.31998,0.01571,-0.13091,-0.34457,-0.33
0.31976,0.01576,-0.12823,-0.34224,-0.30
0.31958,0.01580,-0.12537,-0.33953,-0.28
0.31940,0.01584,-0.12244,-0.33656,-0.27
0.31924,0.01589,-0.11951,-0.33343,-0.26
0.31906,0.01594,-0.11685,-0.33027,-0.28
0.31885,0.01684,-0.11459,-0.32691,-0.63
0.31859,0.01752,-0.11415,-0.32805,-0.77
0.31830,0.01801,-0.11451,-0.33099,-0.81
0.31802,0.01835,-0.11494,-0.33434,-0.77
0.31775,0.01858,-0.11516,-0.33721,-0.71
0.31747,0.01959,-0.11519,-0.33882,-0.97
0.31724,0.02032,-0.11604,-0.34376,-1.00
0.31702,0.02082,-0.11684,-0.34900,-0.93
0.31682,0.02116,-0.11721,-0.35328,-0.83
0.31662,0.02225,-0.11717,-0.35575,-1.05
0.31644,0.02303,-0.11799,-0.36105,-1.07
0.31622,0.02356,-0.11902,-0.36650,-1.02
0.31594,0.02393,-0.12010,-0.37119,-0.96
0.31567,0.02503,-0.12097,-0.37459,-1.20
0.31536,0.02582,-0.12301,-0.38112,-1.25
0.31502,0.02635,-0.12528,-0.38815,-1.20
0.31468,0.02671,-0.12733,-0.39450,-1.12
0.31432,0.02694,-0.12899,-0.39974,-1.03
0.31395,0.02794,-0.13034,-0.40331,-1.27
0.31359,0.02865,-0.13262,-0.40999,-1.31
0.31325,0.02913,-0.13475,-0.41704,-1.23
0.31290,0.02945,-0.13654,-0.42302,-1.14
0.31254,0.03051,-0.13799,-0.42723,-1.37
0.31222,0.03126,-0.14014,-0.43442,-1.37
0.31187,0.03177,-0.14231,-0.44158,-1.30
0.31148,0.03211,-0.14434,-0.44776,-1.22
0.31109,0.03318,-0.14600,-0.45235,-1.46
0.31065,0.03394,-0.14893,-0.45990,-1.51
0.31019,0.03445,-0.15197,-0.46804,-1.45
0.30970,0.03479,-0.15489,-0.47540,-1.38
0.30917,0.03585,-0.15761,-0.48119,-1.62
0.30861,0.03660,-0.16151,-0.49011,-1.67
0.30804,0.03710,-0.16542,-0.49957,-1.60
0.30747,0.03742,-0.16887,-0.50810,-1.50
0.30690,0.03847,-0.17182,-0.51465,-1.72
0.30630,0.03920,-0.17571,-0.52394,-1.74
0.30572,0.03968,-0.17942,-0.53342,-1.65
0.30514,0.03999,-0.18256,-0.54173,-1.53
0.30453,0.04103,-0.18533,-0.54787,-1.76
0.30394,0.04176,-0.18879,-0.55692,-1.76
0.30333,0.04225,-0.19225,-0.56592,-1.69
0.30267,0.04256,-0.19554,-0.57389,-1.61
0.30198,0.04274,-0.19853,-0.58077,-1.54
0.30127,0.04370,-0.20128,-0.58602,-1.80
0.30055,0.04438,-0.20504,-0.59461,-1.84
0.29979,0.04483,-0.20907,-0.60369,-1.80
0.29896,0.04597,-0.21326,-0.61159,-2.08
